region,latitude,longitude
Jette,50.8759585,4.3245702
Kraainem,50.8425698,4.469203440443001
Hooglede,50.9882777,3.0817609380997357
Comines-Warneton,50.7683055,3.0001175
Faimes,50.6652169,5.2627409
Vaux-sur-Sûre,49.9104994,5.5663094
Waremme,50.6976875,5.2546191
Olne,50.5901199,5.7479948
Bruxelles,50.8550018,4.3512333761166175
Lasne,50.6860037,4.4844157
Wanze,50.5368559,5.2143865
Louvain,50.879202,4.7011675
Theux,50.5358359,5.8238359
Watermael-Boitsfort,50.7981063,4.4176441
Courcelles,48.3732096,6.0376277
Profondeville,50.3762043,4.8675024
Mons,50.445820850000004,3.977683401229719
Érezée,50.2930558,5.5597642
Mechelen,51.0281381,4.4803453
Westerlo,51.086694,4.9168675
Auderghem,50.8171712,4.4270852
Saint-Ghislain,50.4477484,3.8195241
Elsene,50.8331141,4.3668279
Sprimont,50.5055291,5.6617176
Durbuy,50.3524116,5.456248
Herve,50.63916,5.7931012
Ixelles,50.8331141,4.3668279
Momignies,50.0087898,4.2142084834115705
Oostende,51.2258565,2.919496
Aartselaar,51.133297,4.3870241
Spa,50.4920654,5.8627569
Wezembeek-Oppem,50.8440554,4.4871796
Watermaal-Bosvoorde,50.7981063,4.4176441
Hastière,50.1969874,4.822430351418182
Ans,50.6679862,5.5077543
Schaarbeek,50.8676041,4.3737121
Dinant,50.2591813,4.9130588
Tervuren,50.8241883,4.5138824
Uccle,50.8035441,4.3338445
Montigny-le-Tilleul,50.3788966,4.3793383
Valsolda,46.029095299999994,9.043912334526064
Sant'Antioco,39.0648291,8.4562962
Modica,36.8589209,14.7613018
Parrana San Martino,43.53740585,10.441815354528618
Cava D'aliga,36.7265195,14.6877876
Bagno a Ripoli,43.752172,11.3199949
Marciaso,44.1472787,10.0778168
Blevio,45.8399418,9.1024697
Mascali,37.7602846,15.1974313
Naples,40.8358846,14.2487679
Quartu Sant'Elena,39.2399728,9.1880967
Florence,43.7697955,11.2556404
Sovicille,43.2806018,11.2281756
Vigevano,45.3170942,8.858603
Rome,41.8933203,12.4829321
Piegaro,42.969772,12.0863466
Barberino Tavarnelle,43.5455622,11.2046811
Contignano,42.976983,11.7409043
Milan,45.4641943,9.1896346
Pietra Ligure,44.152931,8.286552
Francavilla Fontana,40.5301622,17.5826774
Cortona (AR),43.2752976,11.9850623
Villa A Sesta,43.3848096,11.4809495
Venise,45.4371908,12.3345898
San Prospero,44.789671,11.0221
Pianillo,40.8317397,14.533312
Cisternino,40.7429852,17.425745
Albori,40.6701156,14.7089607
Castelnuovo Berardenga,43.3455237,11.5018883
Ciggiano,43.3659584,11.7102885
Talmassons,45.9295576,13.1170643
Turin,45.0677551,7.6824892
Ponzana,45.402684,8.5227375
Dozza,44.3593911,11.6288788
Aci Castello,37.5542111,15.14856
Syracuse,43.0481221,-76.1474244
Orciatico,43.434989,10.7251702
Bari,41.1257843,16.8620293
Piumazzo,44.546263,11.069717
Catane,37.5023612,15.0873718
Forio,40.7368416,13.8581354
Figline Valdarno,43.6182682,11.4718926
Sant'Oreste,42.2347915,12.518905
Mantova,45.1692628,10.670836515673878
Fosdinovo,44.13382,10.018869
Pieve Vergonte,46.012976,8.260816
Mercato Saraceno,43.9567671,12.1959387
Arezzo,43.51714415,11.763928194732205
Caltrano,45.7706147,11.4608005
Gerano,41.933119,12.9937759
Ampognano,42.6271728,12.770951
Passo del Tonale,46.2580068,10.5818471
Alba,56.7861112,-4.1140518
Guanzate,45.7238781,9.0107993
Rai,48.750752,0.581478
Cesate,45.596435,9.0780147
Varese,45.839720299999996,8.754133838056571
Scicli,36.7935701,14.7069644
Montemassi,42.9916195,11.0639299
Monterotondo,42.0517987,12.6183967
Carmagnola,44.8455856,7.7192711
Lucques,43.8428381,10.502876
Bologne,44.4938203,11.3426327
Marais-Vernier,49.418273,0.4555555
Bommes,44.5476094,-0.35734
Châtillon-sur-Cluses,46.0867798,6.5826638
Paris,48.8588897,2.3200410217200766
Dieppe,49.9246182,1.0791444
Lautenbach-Zell,47.9411331,7.1500746
Luc-sur-Mer,49.3169824,-0.3559626
Fay,49.88527,2.80813
Les Bordes,46.8961577,5.029654
Nancy,48.6937223,6.1834097
Saint-Raphaël,45.3043079,1.0747165
La Chapelle-Villars,45.4727783,4.7191611
Saint-Étienne-de-Tinée,44.2564013,6.9249179
Entraigues-sur-la-Sorgue,44.0023187,4.9272616
Moutiers,49.2332157,5.9669258
Saône,47.2249278,6.1168858
Les Menuires,45.3242744,6.5388965
Moutiers-Sous-Chantemerle,46.68735195,-0.6321405396373221
Prévessin-Moëns,46.257389,6.0873747
Saint-Zacharie,43.3839412,5.707967
Brides-les-Bains,45.4525213,6.5667816
Pornic,47.1152695,-2.1040102
Orelle,45.2102358,6.5347405
Aix-les-Bains,45.6886292,5.9146362
Rognaix,45.5863,6.44695
Albertville,45.6754622,6.3925417
Annemasse,46.1934005,6.2341093
Grenoble,45.1875602,5.7357819
Saint-Jeoire,46.1386318,6.4582302
Combloux,45.8949213,6.6448413
Cherbourg-Octeville,49.6343543,-1.6285770868661507
Sens,48.1978559,3.282606
Montvalezan,45.6121437,6.8457969
Frolois,48.5648297,6.1257761
Sainte-Radegonde,44.8056404,0.0162853
Idron,43.2910849,-0.3117531
Puy-Saint-Vincent,44.8279543,6.4926273
Sallanches,45.9361246,6.6302551
Ottmarsheim,47.7888815,7.5094906
Goudargues,44.2153058,4.4678862
Pierres,48.8713065,-0.7341505
Kirschnaumen,49.3974103,6.434911
Saint-Jean-de-Maurienne,45.2775258,6.3453329
Toulouse,43.6044622,1.4442469
Vouvray,47.4136687,0.7998446
Charly-sur-Marne,48.9754438,3.2843296
Nîmes,43.8374249,4.3600687
Manosque,43.8338026,5.7826657
Romorantin-Lanthenay,47.3592182,1.7434925
Le Mans,48.0073849,0.1967849
Saint-Ciers-sur-Gironde,45.2934579,-0.6158131
Dunkerque,51.0347708,2.3772525
Langenstein,48.2512861,14.482099
Vienne,48.2083537,16.3725042
Anthofrotte,47.9399324,15.46556
Zehethof,48.0843123,15.0341066
Klosterneuburg,48.30499,16.323756
Bad Zell,48.3495852,14.6686399
Sankt Valentin,48.16847735,14.549624526556675
Linz,48.3059078,14.286198
Mauerkirchen,48.1889436,13.1346491
A-9360 Friesach,46.9520636,14.4052266
Thon,50.4641615,5.0133577
Gleisdorf,47.1054105,15.7098162
Jaukenberg,48.5838007,14.044894
Steyr-Land,47.9071065,14.528380205662625
Gmunden,47.9185855,13.8003048
Steyr,48.0390046,14.4191276
Plesching,48.3216904,14.3409002
Rauchwart im Burgenland,47.1345966,16.2312569
Berg bei Rohrbach,49.0440757,7.2909384
Hautzendorf,46.9858184,15.39926
Wels,52.2928116,-3.73893
Puchen,47.6343707,13.7635118
Wals,52.2928116,-3.73893
Baden bei Wien,48.0076713,16.2343693
Mönichkirchen,47.5120788,16.0361905
Bad Vöslau,47.9655519,16.2148073
Klagenfurt am Wörthersee,46.623943,14.3075976
Klettendorf,50.8985296,16.5687968
Graz,47.0708678,15.4382786
Ahorn,49.497327600000006,9.528508511112996
Sattledt,48.0702992,14.0581292
Feldbach,46.9525777,15.8887826
Aich,47.4198349,13.8204237
Lingenau,47.4503224,9.920538
Krems an der Donau,48.4108382,15.6003717
Kaisigen,47.832049,13.555976
Alpbach,47.398816,11.9434513
Kapellen,51.3149455,4.4295354
Finkenberg,47.1524246,11.8213394
Bad Mitterndorf,47.5553729,13.9323276
Ansfelden,48.2090744,14.2892608
Köflach,47.0644882,15.0850032
Eichberg bei Hartmannsdorf,47.0719313,15.8655842
Seefeld in Tirol,47.3289241,11.1867187
Pörtschach am Wörthersee,46.6359543,14.1448209
Rieding,48.7448986,7.0977176
Baden,48.1928371,8.1390286
Oberkrimml,47.2222984,12.1676175
Villach,46.6167284,13.8500268
Penking,48.1425037,14.4060288
Zirkitzen,46.8150511,13.8136006
Wundschuh,46.9260357,15.4508945
Dietersdorf,51.5291599,11.0465314
Stegersbach,47.1592565,16.1682822
Lieboch,46.9749381,15.33376
Leonding,48.2793314,14.2487457
Imst,47.2381536,10.7406982
Oberzeiring,47.2511386,14.486749
Kaprun,47.2713898,12.7573679
Traun,48.2214369,14.2368078
Neunkirchen,49.3533493,6.5564888
Stanz bei Landeck,47.1485314,10.5539935
Sankt Ruprecht an der Raab,47.1531781,15.6633027
Gamlitz,46.7213788,15.5533088
Innsbruck-Land,47.2065094,11.383694590035379
Steinakirchen am Forst,48.0674438,15.0488188
Wiener Neudorf,48.083362,16.3143717
Speicherschwendi,47.42549,9.4378023
Soyhières,47.390073,7.3696855
Bühler,47.3743991,9.4233806
Wolfertswil,47.3946527,9.1826298
Filzbach,47.1204474,9.1296451
Oberiberg,47.0391767,8.7834161
Stäfa,47.2413349,8.7348747
Menziken,47.240878,8.187274
Davos Platz,46.7917679,9.8210273
Val-d'Illiez,46.204027,6.8927881
Bremgarten,46.9767749,7.4374969
Cressier,46.8986683,7.1417574
Biel,47.1402077,7.2439029
Glarus Süd,46.9185092,9.09277820236554
Gryon,46.2746628,7.063671
Lugano,46.0050102,8.9520281
Grengiols,46.3729638,8.092535
Flims,46.8332439,9.2834557
Crémines,47.2833117,7.4414188
Mosen,47.2438703,8.2263631
Herdern,47.6058689,8.908617
Gruyères,49.7106979,4.6041316
Rheinfelden,47.5543859,7.7922905
Uster,47.3512065,8.7179221
Laax,46.806412,9.2581267
Maggia,46.2754931,8.6747843
Intragna,45.9941511,8.572928
Hausen,49.8717319,7.3755998
Cormondrèche,46.981761,6.8690862
Renens,46.5349093,6.5928442
Saas im Prättigau,46.9108567,9.8085204
Escholzmatt,46.9140785,7.9348793
Ermatingen,47.6693246,9.0798991
Caviano,46.107495,8.7667854
Berne,46.9484742,7.4521749
Siat,46.7908386,9.1631245
Scherzingen,47.946512,7.735524344501117
Courroux,47.359922,7.3782917
Langenthal,49.8309059,7.5737063
Estavayer,46.85385975,6.886525525784172
Subingen,47.1939523,7.6159259
Leytron,46.1859543,7.2068108
St. Gallen,47.1561047,9.338323
Riedholz,48.2620477,15.290397
Siglistorf,47.5453889,8.3808698
Vaz/Obervaz,46.7224925,9.544287189266644
Oberglatt,47.4768036,8.5203554
Roche-d'Or,47.3668809,6.9540107
Lutry,46.5032766,6.6867879
Felsberg,46.8460537,9.477555
Zürich,47.3744489,8.5410422
Switzerland,46.7985624,8.2319736
Koppigen,47.1318304,7.601523
Fischenthal,47.3333136,8.9225988
Val-de-Travers,46.918820600000004,6.582627570788064
Uttwil,47.5835512,9.3403851
Sankt Gallen,47.425618,9.3762397
Morgins,46.2376589,6.8581016
La Sagne,47.0385519,6.7984212
Lens,50.4291723,2.8319805
Flaach,47.5754461,8.6060755
Dietwil,47.1483703,8.3930952
Movelier,47.4093561,7.3180391
Wohlen bei Bern,46.9708428,7.35592
Bussigny,46.5512503,6.553745
Churwalden,46.7784526,9.5429675
Billens-Hennens,46.68703185,6.891155069229817
Montfaucon,48.957,3.42498
Seengen,47.3252906,8.2079184
Leukerbad,46.3793158,7.6267416
Leontica,46.4566629,8.9240977
Marly,50.3500747,3.5435909
Ferenbalm,46.9488327,7.2109008
Uitikon,47.3705756,8.4530961
Ormont-Dessus,46.3425781,7.1630702854579456
Bonfol,47.47711955,7.156794984778185
Anzère,46.2970711,7.3989488
Wiler (Lötschen),46.4039949,7.7836104
Bâle,47.5581077,7.5878261
Uzwil,47.4370506,9.1333201
Wolfhagen,51.3333355,9.1968854
La Garde-Adhémar,44.3931157,4.7535439
Yutz,49.3615058,6.1919276
Chemnitz,50.8323531,12.918914
Thaon-les-Vosges,48.249484499999994,6.412361233645147
Ramela,40.4765196,-7.2548017
Twist,52.6474242,7.0947959
Hennef (Sieg),50.7754417,7.2847945
Obernzell,48.5550495,13.6361292
Sankt Englmar,49.0013807,12.8239209
Hanovre,52.3744779,9.7385532
Trippstadt,49.3565392,7.7713465
Nossen,51.1120091,13.3013976
Rastede,53.2467081,8.201904
Gieleroth,50.6670908,7.6805251
Falkenstein,49.6079336,7.8740598
Speicher,49.9354628,6.6389817
Mehlmeisel,49.9762079,11.856859
Hellenthal,50.490997,6.435434
Mülheim an der Ruhr,51.4272925,6.8829192
Erfurt,50.9777974,11.0287364
Olsberg,51.355148,8.4893388
Wermsdorf - Calbitz,51.3269945,13.0070173
Sommerloch,49.8757031,7.7605272
Altlandsberg,52.5614869,13.7245542
Roskow,52.4730439,12.715434
Korschenbroich,51.1902651,6.5143539
Roetgen,50.6471603,6.1967728
Schwanewede,53.2254676,8.5943316
Wald-Michelbach,49.5497,8.843
Netphen,50.9125904,8.1026183
Morbach,49.8105138,7.1229799
Munich,48.1371079,11.5753822
Balingen,48.2737512,8.8557862
Werneuchen,52.6334769,13.7340939
Wolfegg,47.8205362,9.7945596
Kirchzarten,47.9651461,7.9573306
Rottweil,48.165531,8.6251283
Bühl,48.7253,7.0853
Sinzheim,48.7603662,8.1652016
Troisdorf,50.8153071,7.1593271
Kempen,51.3642126,6.4195011
Friedrichskoog,54.0072866,8.8841226
Boppard,50.2312823,7.5885884
Kamenz,51.270139,14.0948628
Simmerath,50.6072499,6.3005267
Offenburg,48.4716556,7.944378
Göttingen,51.5328328,9.9351811
Donzdorf,48.6856725,9.8107595
Bonn,50.735851,7.10066
Krefeld,51.3331205,6.5623343
Gschwend,48.9341783,9.7432432
Essen,51.4582235,7.0158171
Burgthann,49.3570358,11.3169596
Obermichelbach,47.5662402,7.4454852
Himmelpforten,53.6158613,9.3081693
Münchhausen,48.9196671,8.1484455
Mannebach,50.2820769,6.984702
Neumagen-Dhron,49.8626079,6.9022123
Eisenach,50.9747134,10.3193565
Lorch,48.7982424,9.6898657
Runkel,50.42414745,8.148249555706897
Schleiden,50.5285919,6.4761556
Barum,53.3510692,10.4078903
Winterberg,51.1930723,8.5338466
Ingelheim am Rhein,49.9752749,8.0547274
Viersen,51.2562118,6.3905476
Nalbach,49.3783774,6.7877238
Aix-la-Chapelle,50.776351,6.083862
Halberstadt,51.8953514,11.0520563
Joachimsthal,52.9770643,13.7453282
Engelskirchen,50.9872964,7.4084206
Oberstenfeld,49.0242983,9.3192878
Sommerkahl,50.0699119,9.2550889
Ostbevern,52.0362198,7.8400336
Deißlingen,48.1121476,8.6048933
Altenberg,50.766598,13.7523234
Grünenbach,47.6244899,10.014832
Bonndorf im Schwarzwald,47.8195619,8.3420691
Bad Hersfeld,50.8604177,9.6767709
Kell am See,49.6340208,6.820389
Mechernich,50.5909999,6.6525479
Issum,51.5347321,6.4245085
Güstrow,53.793587,12.1764906
Kevelaer,51.5802996,6.2456273
Bad Wildungen,51.1029078,9.0940685
Riol,49.7933999,6.7922
Melbeck,53.1782785,10.4084916
Meiningen,50.554732400000006,10.373504956892056
Bad Liebenzell,48.7712716,8.7321279
Bassenheim,50.360286,7.4558325
Geldern,52.1014041,5.9515701
Paderborn,51.7177044,8.752653
Weyhausen,52.4627787,10.7193022
Saarbrücken,49.234362,6.996379
Hauzenberg,48.6551971,13.6276784
Bad Oldesloe,53.8096562,10.3733692
Schauenburg,51.2776974,9.3482404
Weilerbach,49.482492,7.6323501
Bad Salzdetfurth,52.0595144,10.0064728
Osterburken,49.4305787,9.4273773
Hundeshagen,51.4348796,10.2778641
Kreuztal,50.9598627,7.9896202
Heidelberg,49.4093582,8.694724
Freising,48.4008273,11.7439565
Aspach,48.6545137,6.9624243
Freiburg im Breisgau,47.9960901,7.8494005
Braga,41.5510583,-8.4280045
Gaula,29.1250363,79.5508576
Lisboa,38.7077507,-9.1365919
Albufeira,37.088241,-8.2526339
Estreito da Calheta,32.7366697,-17.1878312
Peniche,39.3568749,-9.3786838
Arcos de Valdevez,41.8471981,-8.417882
Vila Nova de Gaia,41.1300103,-8.6058415
Aldeia do Meco,38.4717989,-9.1702334
Alegrete,-29.790166,-55.794862
Parede,38.6932444,-9.355054025521003
Odeceixe,37.4332252,-8.7701988
Sesimbra,38.4436932,-9.0996273
Miranda do Douro,41.5000816,-6.271331
Porto de Mós,39.6023941,-8.8185271
Armação de Pêra,37.1042384,-8.3627308
Porto,41.1494512,-8.6107884
Celorico de Basto,41.3879363,-8.0002089
Santarem,39.2850041,-8.556447653068235
Tavira,37.1262493,-7.6499121
Arraiolos,38.7227289,-7.9853053
Penela,40.029442,-8.3902395
Silves,37.26398255,-8.348731138182709
Sintra,38.79846,-9.3881
Lagos,6.4550575,3.3941795
Parchal,37.1375387,-8.5176943
Viana do Castelo,41.8803257,-8.523255293554344
Matosinhos,41.1806814,-8.6821998
Sagres,-21.8840628,-50.9574608
Estoril,38.70957065,-9.390136815849147
Olhão,37.0270369,-7.8411287
Castro Mirim,-24.6158892,-50.0852858
Santarém,39.2850041,-8.556447653068235
Funchal,32.6496497,-16.9086783
Pedrógão Grande,39.9169584,-8.145564
Lisbonne,38.7077507,-9.1365919
Carcavelos,38.6900906,-9.3346828
Avis,39.0559501,-7.8897441
Cascais,38.6968919,-9.4204495
Ericeira,38.9632411,-9.4170802
Setúbal,38.5241783,-8.8932341
